date,description,debit,credit,balance,source_image
2023-07-26,.  BRCEBK *Z6QQDSTSG2 CD,2.0,,11701.22,2023_July_Statement (7)_page_3_table_1.png
2023-07-26,.  GENERAL TRAFFIC-BL CD 0523,168.33,,11532.89,2023_July_Statement (7)_page_3_table_1.png
2023-07-26,.  VANTAGE TOYOTA CD 0523s -,417.22,,11115.67,2023_July_Statement (7)_page_3_table_1.png
2023-07-07,OTT SOOO,,780.0,11895.67,2023_July_Statement (7)_page_3_table_1.png
2023-10-04,.  VANTAGE TOYOTACD 0531 — _,600.0,,11480.57,2023_October_Statement (5)_page_2_table_1.png
2023-10-05,PAYMENTSENS EM,,60.0,11540.57,2023_October_Statement (5)_page_2_table_1.png
2023-10-05,Rightway Cash &CaCD0531 ‘,59.98,,11480.59,2023_October_Statement (5)_page_2_table_1.png
2023-10-05,Amazon.co.uk*HT3Q0 CD 0531,63.68,,11416.91,2023_October_Statement (5)_page_2_table_1.png
2023-10-06,TO CENCE,,365.0,11630.66,2023_October_Statement (5)_page_2_table_1.png
2023-10-13,eet ae y934982 RADIO,500.0,,15826.11,2023_October_Statement (5)_page_3_table_1.png
2023-10-16," MANA ooo og zI658o061  EPO 200.00 15,617.12",200.0,,15617.12,2023_October_Statement (5)_page_3_table_1.png
2023-10-16,Oe ESET,,270.0,15887.12,2023_October_Statement (5)_page_3_table_1.png
2023-10-16," WAWWANINELIFE.EUCD 0531  pep 39.15 15,833.98",39.15,,15833.98,2023_October_Statement (5)_page_3_table_1.png
2023-10-16,Mottats Motor Acc CD 0531,1880.74,,13953.24,2023_October_Statement (5)_page_3_table_1.png
2023-10-16,AMZNMktplace CD 0531,62.99,,13890.25,2023_October_Statement (5)_page_3_table_1.png
2023-10-07,OSE,,1010.0,14900.25,2023_October_Statement (5)_page_3_table_1.png
2023-10-07,Oo Mol 058181 WEB,200.0,,14700.25,2023_October_Statement (5)_page_3_table_1.png
2023-10-07," SERVICE CHARGES REF : PAY 7.00 14,873.25",7.0,,14873.25,2023_October_Statement (5)_page_3_table_1.png
2023-10-08,FO eee een,,3540.0,18200.77,2023_October_Statement (5)_page_3_table_1.png
2023-10-20,.  AMZNMKkiplace CD 0531,95.97,,20176.8,2023_October_Statement (5)_page_3_table_1.png
2023-10-20,.  AMZNMKktplace CD 0531,20.99,,20155.81,2023_October_Statement (5)_page_3_table_1.png
2023-10-23,OO ENCES,,600.0,20755.81,2023_October_Statement (5)_page_4_table_1.png
2023-10-23,"te oop ogo 2e7 496707  EPO 300.00 20,455.81",300.0,,20455.81,2023_October_Statement (5)_page_4_table_1.png
2023-10-23,359000001227457652 GARAGE,210.0,,19795.81,2023_October_Statement (5)_page_4_table_1.png
2023-10-23,FEETE.COMIBILL CD 0531,2.99,,19792.82,2023_October_Statement (5)_page_4_table_1.png
2023-10-23,OO a NSE MT,,750.0,20542.82,2023_October_Statement (5)_page_4_table_1.png
2023-10-23,.  EUROCARPARTSCCD0531_ ‘,115.0,,20401.43,2023_October_Statement (5)_page_4_table_1.png
2023-10-24,Oe EON NOT,,990.0,21391.43,2023_October_Statement (5)_page_4_table_1.png
2023-10-24,AMZNMktplace CD 0531,3.49,,21387.94,2023_October_Statement (5)_page_4_table_1.png
2023-10-25,.  WWW.NINELIFE.EU CD 0531,39.15,,21399.29,2023_October_Statement (5)_page_4_table_1.png
2023-10-25,.  AMZNMktplace CD 0531,95.97,,21495.26,2023_October_Statement (5)_page_4_table_1.png
2023-10-25,AMZNMktplace CD 0531,59.95,,21435.31,2023_October_Statement (5)_page_4_table_1.png
2023-10-26,.  Fe SE So,,1860.0,23295.31,2023_October_Statement (5)_page_4_table_1.png
2023-10-26,a ea tas paRTs,2900.0,,20395.31,2023_October_Statement (5)_page_4_table_1.png
2023-10-27,« PAYMENT SENSE,,840.0,21235.31,2023_October_Statement (5)_page_4_table_1.png
2023-10-27,.-—« : eBay O*17-10705-42CD 0531 ‘ ~,7.95,,21227.36,2023_October_Statement (5)_page_4_table_1.png
2023-10-27,—* Rightway Cash & Ca CD 0531,8.99,,21218.37,2023_October_Statement (5)_page_4_table_1.png
2023-10-27,.-~—«  VANTAGE TOYOTA CD 0531,1011.78,,20206.59,2023_October_Statement (5)_page_4_table_1.png
2023-10-30,OTe Seo,,2240.0,22446.59,2023_October_Statement (5)_page_4_table_1.png
2023-06-15,PAYMENT Se MT,,1120.0,4840.16,Statement1_page_2_table_1.png
2023-06-16,FRENTE MT,,90.0,4930.16,Statement1_page_2_table_1.png
2023-06-19,OTT,60.8,,4869.36,Statement1_page_2_table_1.png
2023-06-19,Oe eet b4087,1298.93,,3570.43,Statement1_page_2_table_1.png
2023-06-19," SERNICE CHARGES REF : PAY 7.00 3,563.43",7.0,,3563.43,Statement1_page_2_table_1.png
2023-06-20,OTR ee MT,,1900.0,5463.43,Statement1_page_2_table_1.png
2023-06-21,MERCHANT RENTALS,26.39,,5487.04,Statement1_page_2_table_1.png
2023-06-21,EE,,1150.0,6587.04,Statement1_page_2_table_1.png
2023-06-21,DVSACD 0515,398.0,,6189.04,Statement1_page_2_table_1.png
2023-06-21,APPLE.COM/BILL CD 0515,2.49,,6186.55,Statement1_page_2_table_1.png
2023-06-26,[NO_DESCRIPTION],,400.0,7556.55,Statement1_page_2_table_1.png
2023-06-26,SoognpuTtas113216 779156,500.0,,7056.55,Statement1_page_2_table_1.png
2023-06-26,Jee COPAY AT PUMP,30.0,,7026.55,Statement1_page_2_table_1.png
2023-06-26,BRIELLE BLACKBURN RO CD,30.0,,6996.55,Statement1_page_2_table_1.png
2023-06-27,Oo,,130.0,7126.55,Statement1_page_2_table_1.png
2023-06-27," MA AZAD soon ogo 1 1o9 754098  EPO 200.00 6,926.55",200.0,,6926.55,Statement1_page_2_table_1.png
2023-06-28,.  VANTAGE TOYOTACD0S15_ _—‘ :~,1330.0,,6326.55,Statement1_page_2_table_1.png
2023-06-29,Etsy.com - KingsCo CD 0515,25.1,,6301.45,Statement1_page_2_table_1.png
